,cardname,text,cmc,mana,type,Type
559,Guardian Beast,"As long as Guardian Beast is untapped, noncreature artifacts you control can't be enchanted, they have indestructible, and other players can't gain control of them. This effect doesn't remove Auras already attached to those artifacts.",4,{3}{B},Creature - Beast,
560,Hasran Ogress,"Whenever Hasran Ogress attacks, it deals 3 damage to you unless you pay {2}.",2,{B}{B},Creature - Ogre,
561,Hurr Jackal,{T}: Target creature can't be regenerated this turn.,1,{R},Creature - Jackal,
562,Ifh-Bíff Efreet,"Flying
{G}: Ifh-Bíff Efreet deals 1 damage to each creature with flying and each player. Any player may activate this ability.",4,{2}{G}{G},Creature - Efreet,
563,Island Fish Jasconius,"Island Fish Jasconius doesn't untap during your untap step.
At the beginning of your upkeep, you may pay {U}{U}{U}. If you do, untap Island Fish Jasconius.
Island Fish Jasconius can't attack unless defending player controls an Island.
When you control no Islands, sacrifice Island Fish Jasconius.",7,{4}{U}{U}{U},Creature - Fish,
564,Island of Wak-Wak,{T}: Target creature with flying has base power 0 until end of turn.,0,,Land,
565,Jandor's Ring,"{2}, {T}, Discard the last card you drew this turn: Draw a card.",6,{6},Artifact,
566,Jandor's Saddlebags,"{3}, {T}: Untap target creature.",2,{2},Artifact,
567,Junún Efreet,"Flying
At the beginning of your upkeep, sacrifice Junún Efreet unless you pay {B}{B}.",3,{1}{B}{B},Creature - Efreet,
568,Juzám Djinn,"At the beginning of your upkeep, Juzám Djinn deals 1 damage to you.",4,{2}{B}{B},Creature - Djinn,
569,Khabál Ghoul,"At the beginning of each end step, put a +1/+1 counter on Khabál Ghoul for each creature that died this turn.",3,{2}{B},Creature - Zombie,
570,King Suleiman,{T}: Destroy target Djinn or Efreet.,2,{1}{W},Creature - Human Noble,
571,Kird Ape,Kird Ape gets +1/+2 as long as you control a Forest.,1,{R},Creature - Ape,
572,Magnetic Mountain,"Blue creatures don't untap during their controllers' untap steps.
At the beginning of each player's upkeep, that player may choose any number of tapped blue creatures they control and pay {4} for each creature chosen this way. If the player does, untap those creatures.",3,{1}{R}{R},Enchantment,
573,Merchant Ship,"Merchant Ship can't attack unless defending player controls an Island.
Whenever Merchant Ship attacks and isn't blocked, you gain 2 life.
When you control no Islands, sacrifice Merchant Ship.",1,{U},Creature - Human,
574,Metamorphosis,"As an additional cost to cast this spell, sacrifice a creature.
Add X mana of any one color, where X is 1 plus the sacrificed creature's mana value. Spend this mana only to cast creature spells.",1,{G},Sorcery,
575,Mijae Djinn,"Whenever Mijae Djinn attacks, flip a coin. If you lose the flip, remove Mijae Djinn from combat and tap it.",3,{R}{R}{R},Creature - Djinn,
576,Moorish Cavalry,Trample,4,{2}{W}{W},Creature - Human Knight,
578,Nafs Asp,"Whenever Nafs Asp deals damage to a player, that player loses 1 life at the beginning of their next draw step unless they pay {1} before that draw step.",1,{G},Creature - Snake,
579,Oasis,{T}: Prevent the next 1 damage that would be dealt to target creature this turn.,0,,Land,
580,Old Man of the Sea,"You may choose not to untap Old Man of the Sea during your untap step.
{T}: Gain control of target creature with power less than or equal to Old Man of the Sea's power for as long as Old Man of the Sea remains tapped and that creature's power remains less than or equal to Old Man of the Sea's power.",3,{1}{U}{U},Creature - Djinn,
581,Oubliette,"When Oubliette enters the battlefield, target creature phases out until Oubliette leaves the battlefield. Tap that creature as it phases in this way. (Auras and Equipment phase out with it. While permanents are phased out, they're treated as though they don't exist.)",3,{1}{B}{B},Enchantment,
582,Piety,Blocking creatures get +0/+3 until end of turn.,3,{2}{W},Instant,
583,Pyramids,"{2}: Choose one -
• Destroy target Aura attached to a land.
• The next time target land would be destroyed this turn, remove all damage marked on it instead.",6,{6},Artifact,
584,Repentant Blacksmith,Protection from red,2,{1}{W},Creature - Human,
585,Ring of Ma'rûf,"{5}, {T}, Exile Ring of Ma'rûf: The next time you would draw a card this turn, instead put a card you own from outside the game into your hand.",5,{5},Artifact,
586,Rukh Egg,"When Rukh Egg dies, create a 4/4 red Bird creature token with flying at the beginning of the next end step.",4,{3}{R},Creature - Bird Egg,
587,Sandals of Abdallah,"{2}, {T}: Target creature gains islandwalk until end of turn. When that creature dies this turn, destroy Sandals of Abdallah. (A creature with islandwalk can't be blocked as long as defending player controls an Island.)",4,{4},Artifact,
588,Sandstorm,Sandstorm deals 1 damage to each attacking creature.,1,{G},Instant,
589,Serendib Djinn,"Flying
At the beginning of your upkeep, sacrifice a land. If you sacrifice an Island this way, Serendib Djinn deals 3 damage to you.
When you control no lands, sacrifice Serendib Djinn.",4,{2}{U}{U},Creature - Djinn,
590,Serendib Efreet,"Flying
At the beginning of your upkeep, Serendib Efreet deals 1 damage to you.",3,{2}{U},Creature - Efreet,
591,Sindbad,"{T}: Draw a card and reveal it. If it isn't a land card, discard it.",2,{1}{U},Creature - Human,
592,Singing Tree,{T}: Target attacking creature has base power 0 until end of turn.,4,{3}{G},Creature - Plant,
593,Sorceress Queen,{T}: Target creature other than Sorceress Queen has base power and toughness 0/2 until end of turn.,3,{1}{B}{B},Creature - Human Wizard,
594,Unstable Mutation,"Enchant creature
Enchanted creature gets +3/+3.
At the beginning of the upkeep of enchanted creature's controller, put a -1/-1 counter on that creature.",1,{U},Enchantment - Aura,
595,War Elephant,"Trample; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",4,{3}{W},Creature - Elephant,
596,Wyluli Wolf,{T}: Target creature gets +1/+1 until end of turn.,2,{1}{G},Creature - Wolf,
597,Ydwen Efreet,"Whenever Ydwen Efreet blocks, flip a coin. If you lose the flip, remove Ydwen Efreet from combat and it can't block this turn. Creatures it was blocking that had become blocked by only Ydwen Efreet this combat become unblocked.",3,{R}{R}{R},Creature - Efreet,
598,Amulet of Kroog,"{2}, {T}: Prevent the next 1 damage that would be dealt to any target this turn.",2,{2},Artifact,
599,Argivian Archaeologist,"{W}{W}, {T}: Return target artifact card from your graveyard to your hand.",3,{1}{W}{W},Creature - Human Artificer,
600,Argivian Blacksmith,{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.,3,{1}{W}{W},Creature - Human Artificer,
601,Argothian Pixies,"Argothian Pixies can't be blocked by artifact creatures.
Prevent all damage that would be dealt to Argothian Pixies by artifact creatures.",2,{1}{G},Creature - Faerie,
602,Argothian Treefolk,Prevent all damage that would be dealt to Argothian Treefolk by artifact sources.,5,{3}{G}{G},Creature - Treefolk,
603,Armageddon Clock,"At the beginning of your upkeep, put a doom counter on Armageddon Clock.
At the beginning of your draw step, Armageddon Clock deals damage equal to the number of doom counters on it to each player.
{4}: Remove a doom counter from Armageddon Clock. Any player may activate this ability but only during any upkeep step.",6,{6},Artifact,
604,Artifact Blast,Counter target artifact spell.,1,{R},Instant,
605,Artifact Possession,"Enchant artifact
Whenever enchanted artifact becomes tapped or a player activates an ability of enchanted artifact without {T} in its activation cost, Artifact Possession deals 2 damage to that artifact's controller.",3,{2}{B},Enchantment - Aura,
606,Artifact Ward,"Enchant creature
Enchanted creature can't be blocked by artifact creatures.
Prevent all damage that would be dealt to enchanted creature by artifact sources.
Enchanted creature can't be the target of abilities from artifact sources.",1,{W},Enchantment - Aura,
607,Ashnod's Altar,Sacrifice a creature: Add {C}{C}.,3,{3},Artifact,
608,Ashnod's Battle Gear,"You may choose not to untap Ashnod's Battle Gear during your untap step.
{2}, {T}: Target creature you control gets +2/-2 for as long as Ashnod's Battle Gear remains tapped.",2,{2},Artifact,
609,Ashnod's Transmogrant,"{T}, Sacrifice Ashnod's Transmogrant: Put a +1/+1 counter on target nonartifact creature. That creature becomes an artifact in addition to its other types.",1,{1},Artifact,
610,Atog,Sacrifice an artifact: Atog gets +2/+2 until end of turn.,2,{1}{R},Creature - Atog,
611,Battering Ram,"At the beginning of combat on your turn, Battering Ram gains banding until end of combat. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's blocking.)
Whenever Battering Ram becomes blocked by a Wall, destroy that Wall at end of combat.",2,{2},Artifact Creature - Construct,
612,Candelabra of Tawnos,"{X}, {T}: Untap X target lands.",1,{1},Artifact,
613,Circle of Protection: Artifacts,"{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.",2,{1}{W},Enchantment,
614,Citanul Druid,"Whenever an opponent casts an artifact spell, put a +1/+1 counter on Citanul Druid.",2,{1}{G},Creature - Human Druid,
615,Clay Statue,{2}: Regenerate Clay Statue.,4,{4},Artifact Creature - Golem,
616,Clockwork Avian,"Flying
Clockwork Avian enters the battlefield with four +1/+0 counters on it.
At end of combat, if Clockwork Avian attacked or blocked this combat, remove a +1/+0 counter from it.
{X}, {T}: Put up to X +1/+0 counters on Clockwork Avian. This ability can't cause the total number of +1/+0 counters on Clockwork Avian to be greater than four. Activate only during your upkeep.",5,{5},Artifact Creature - Bird,
617,Colossus of Sardia,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Colossus of Sardia doesn't untap during your untap step.
{9}: Untap Colossus of Sardia. Activate only during your upkeep.",9,{9},Artifact Creature - Golem,
618,Coral Helm,"{3}, Discard a card at random: Target creature gets +2/+2 until end of turn.",3,{3},Artifact,
619,Crumble,Destroy target artifact. It can't be regenerated. That artifact's controller gains life equal to its mana value.,1,{G},Instant,
620,Cursed Rack,"As Cursed Rack enters the battlefield, choose an opponent.
The chosen player's maximum hand size is four.",4,{4},Artifact,
621,Damping Field,Players can't untap more than one artifact during their untap steps.,3,{2}{W},Enchantment,
622,Detonate,Destroy target artifact with mana value X. It can't be regenerated. Detonate deals X damage to that artifact's controller.,1,{X}{R},Sorcery,
623,Drafna's Restoration,Put any number of target artifact cards from target player's graveyard on top of their library in any order.,1,{U},Sorcery,
624,Dragon Engine,{2}: Dragon Engine gets +1/+0 until end of turn.,3,{3},Artifact Creature - Construct,
625,Dwarven Weaponsmith,"{T}, Sacrifice an artifact: Put a +1/+1 counter on target creature. Activate only during your upkeep.",2,{1}{R},Creature - Dwarf Artificer,
626,Energy Flux,"All artifacts have ""At the beginning of your upkeep, sacrifice this artifact unless you pay {2}.""",3,{2}{U},Enchantment,
627,Feldon's Cane,"{T}, Exile Feldon's Cane: Shuffle your graveyard into your library.",1,{1},Artifact,
628,Gaea's Avenger,Gaea's Avenger's power and toughness are each equal to 1 plus the number of artifacts your opponents control.,3,{1}{G}{G},Creature - Treefolk,
629,Gate to Phyrexia,Sacrifice a creature: Destroy target artifact. Activate only during your upkeep and only once each turn.,2,{B}{B},Enchantment,
630,Goblin Artisans,"{T}: Flip a coin. If you win the flip, draw a card. If you lose the flip, counter target artifact spell you control that isn't the target of an ability from another creature named Goblin Artisans.",1,{R},Creature - Goblin Artificer,
631,Golgothian Sylex,"{1}, {T}: Each nontoken permanent with a name originally printed in the Antiquities expansion is sacrificed by its controller.",4,{4},Artifact,
632,Grapeshot Catapult,{T}: Grapeshot Catapult deals 1 damage to target creature with flying.,4,{4},Artifact Creature - Construct,
